brand,theatername,theaternum,movietitle,movieruntime,moviedate,moviestarttime,theaterseatcnt
CGV,CGV 강남,3관 8층,30일,119분,20231016,14:00,142석
CGV,CGV 강남,3관 8층,30일,119분,20231016,16:30,154석
CGV,CGV 강남,3관 8층,30일,119분,20231016,19:00,148석
CGV,CGV 강남,3관 8층,30일,119분,20231016,21:30,162석
CGV,CGV 강남,3관 8층,30일,119분,20231016,24:00,166석
CGV,CGV 강남,5관 10층(Laser),30일,119분,20231016,22:40,165석
CGV,CGV 강남,4관 8층,화사한그녀,121분,20231016,15:00,120석
CGV,CGV 강남,4관 8층,화사한그녀,121분,20231016,17:30,116석
CGV,CGV 강남,4관 8층,화사한그녀,121분,20231016,20:00,118석
CGV,CGV 강남,4관 8층,화사한그녀,121분,20231016,22:30,118석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),화란,124분,20231016,14:40,117석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),화란,124분,20231016,17:15,116석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),화란,124분,20231016,19:50,116석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),화란,124분,20231016,22:20,118석
CGV,CGV 강남,5관 10층(Laser),천박사퇴마연구소-설경의비밀,98분,20231016,13:40,164석
CGV,CGV 강남,5관 10층(Laser),천박사퇴마연구소-설경의비밀,98분,20231016,18:20,160석
CGV,CGV 강남,5관 10층(Laser),천박사퇴마연구소-설경의비밀,98분,20231016,20:30,152석
CGV,CGV 강남,1관 6층,1947보스톤,108분,20231016,14:30,151석
CGV,CGV 강남,1관 6층,1947보스톤,108분,20231016,18:40,144석
CGV,CGV 강남,5관 10층(Laser),1947보스톤,108분,20231016,15:50,167석
CGV,CGV 강남,6관 10층 (Laser),사나-저주의아이,102분,20231016,18:00,118석
CGV,CGV 강남,6관 10층 (Laser),사나-저주의아이,102분,20231016,23:00,116석
CGV,CGV 강남,1관 6층,크리에이터,133분,20231016,21:00,149석
CGV,CGV 강남,1관 6층,더넌2,110분,20231016,23:40,152석
CGV,CGV 강남,1관 6층,"여름을향한터널,이별의출구",83분,20231016,16:50,148석
CGV,CGV 강남,6관 10층 (Laser),더퍼스트슬램덩크,124분,20231016,20:20,108석
CGV,CGV 강남,6관 10층 (Laser),플로라앤썬,97분,20231016,15:40,120석
CGV,CGV 강변,씨네앤포레 (Laser),30일,119분,20231016,14:50,46석
