brand,theatername,theaternum,movietitle,movieruntime,moviedate,moviestarttime,theaterseatcnt
CGV,CGV 강남,1관 6층,플라워킬링문,205분,20231020,14:40,128석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),플라워킬링문,205분,20231020,24:10,119석
CGV,CGV 강남,6관 10층 (Laser),플라워킬링문,205분,20231020,19:40,71석
CGV,CGV 강남,4관[SCREENX] 8층,바람따라만나리:김호중의계절,107분,20231020,14:10,94석
CGV,CGV 강남,4관[SCREENX] 8층,바람따라만나리:김호중의계절,107분,20231020,16:30,110석
CGV,CGV 강남,4관[SCREENX] 8층,바람따라만나리:김호중의계절,107분,20231020,18:50,115석
CGV,CGV 강남,4관[SCREENX] 8층,바람따라만나리:김호중의계절,107분,20231020,21:10,115석
CGV,CGV 강남,4관[SCREENX] 8층,바람따라만나리:김호중의계절,107분,20231020,23:30,124석
CGV,CGV 강남,4관[SCREENX] 8층,바람따라만나리:김호중의계절,107분,20231020,25:50,124석
CGV,CGV 강남,1관 6층,익스펜더블4,103분,20231020,25:40,152석
CGV,CGV 강남,3관 8층,익스펜더블4,103분,20231020,13:40,161석
CGV,CGV 강남,3관 8층,익스펜더블4,103분,20231020,18:20,155석
CGV,CGV 강남,3관 8층,익스펜더블4,103분,20231020,23:00,164석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),엑소시스트-믿는자,111분,20231020,16:50,112석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),엑소시스트-믿는자,111분,20231020,21:45,114석
CGV,CGV 강남,6관 10층 (Laser),엑소시스트-믿는자,111분,20231020,26:00,112석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),화란,124분,20231020,19:10,101석
CGV,CGV 강남,3관 8층,블루자이언트,119분,20231020,15:50,154석
CGV,CGV 강남,3관 8층,블루자이언트,119분,20231020,20:30,161석
CGV,CGV 강남,3관 8층,블루자이언트,119분,20231020,25:15,166석
CGV,CGV 강남,5관 10층(Laser),30일,119분,20231020,12:30,160석
CGV,CGV 강남,5관 10층(Laser),30일,119분,20231020,15:00,133석
CGV,CGV 강남,5관 10층(Laser),30일,119분,20231020,17:30,134석
CGV,CGV 강남,5관 10층(Laser),30일,119분,20231020,20:00,101석
CGV,CGV 강남,5관 10층(Laser),30일,119분,20231020,22:30,154석
CGV,CGV 강남,5관 10층(Laser),30일,119분,20231020,25:00,167석
CGV,CGV 강남,1관 6층,화사한그녀,121분,20231020,18:40,147석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),화사한그녀,121분,20231020,14:20,116석
CGV,CGV 강남,1관 6층,사나-저주의아이,102분,20231020,21:20,148석
CGV,CGV 강남,6관 10층 (Laser),사나-저주의아이,102분,20231020,23:40,120석
CGV,CGV 강남,1관 6층,1947보스톤,108분,20231020,12:20,147석
CGV,CGV 강남,6관 10층 (Laser),크리에이터,133분,20231020,13:30,117석
CGV,CGV 강남,6관 10층 (Laser),오펜하이머,180분,20231020,16:10,114석
CGV,CGV 강남,1관 6층,잠,94분,20231020,23:30,149석
CGV,CGV 강변,"5관 (컴포트석, Laser)",플라워킬링문,205분,20231020,15:55,66석
CGV,CGV 강변,"5관 (컴포트석, Laser)",플라워킬링문,205분,20231020,19:45,50석
CGV,CGV 강변,9관 (Laser),바람따라만나리:김호중의계절,107분,20231020,14:35,150석
CGV,CGV 강변,6관 (Laser),익스펜더블4,103분,20231020,12:40,141석
CGV,CGV 강변,6관 (Laser),익스펜더블4,103분,20231020,14:50,143석
CGV,CGV 강변,6관 (Laser),익스펜더블4,103분,20231020,17:00,143석
CGV,CGV 강변,6관 (Laser),익스펜더블4,103분,20231020,19:10,142석
CGV,CGV 강변,6관 (Laser),익스펜더블4,103분,20231020,21:25,135석
CGV,CGV 강변,4DX관 (Laser),엑소시스트-믿는자,111분,20231020,14:20,108석
CGV,CGV 강변,4DX관 (Laser),엑소시스트-믿는자,111분,20231020,16:40,106석
CGV,CGV 강변,4DX관 (Laser),엑소시스트-믿는자,111분,20231020,19:00,108석
CGV,CGV 강변,4DX관 (Laser),엑소시스트-믿는자,111분,20231020,21:20,108석
