brand,theatername,theaternum,movietitle,movieruntime,moviedate,moviestarttime,theaterseatcnt
CGV,CGV 강남,4관[SCREENX] 8층,바람따라만나리:김호중의계절,107분,20231019,16:30,110석
CGV,CGV 강남,4관[SCREENX] 8층,바람따라만나리:김호중의계절,107분,20231019,18:50,118석
CGV,CGV 강남,4관[SCREENX] 8층,바람따라만나리:김호중의계절,107분,20231019,21:15,124석
CGV,CGV 강남,4관[SCREENX] 8층,바람따라만나리:김호중의계절,107분,20231019,23:30,124석
CGV,CGV 강남,4관[SCREENX] 8층,바람따라만나리:김호중의계절,107분,20231019,25:50,124석
CGV,CGV 강남,3관 8층,익스펜더블4,103분,20231019,16:50,162석
CGV,CGV 강남,3관 8층,익스펜더블4,103분,20231019,21:30,161석
CGV,CGV 강남,3관 8층,익스펜더블4,103분,20231019,26:10,166석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),화란,124분,20231019,24:20,120석
CGV,CGV 강남,3관 8층,블루자이언트,119분,20231019,19:00,164석
CGV,CGV 강남,3관 8층,블루자이언트,119분,20231019,23:40,166석
CGV,CGV 강남,1관 6층,엑소시스트-믿는자,111분,20231019,20:30,144석
CGV,CGV 강남,6관 10층 (Laser),엑소시스트-믿는자,111분,20231019,25:20,118석
CGV,CGV 강남,6관 10층 (Laser),플라워킬링문,205분,20231019,18:40,73석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),30일,119분,20231019,21:40,114석
CGV,CGV 강남,5관 10층(Laser),30일,119분,20231019,17:30,145석
CGV,CGV 강남,5관 10층(Laser),30일,119분,20231019,20:00,130석
CGV,CGV 강남,5관 10층(Laser),30일,119분,20231019,22:30,160석
CGV,CGV 강남,5관 10층(Laser),30일,119분,20231019,25:00,167석
CGV,CGV 강남,1관 6층,사나-저주의아이,102분,20231019,25:40,145석
CGV,CGV 강남,1관 6층,화사한그녀,121분,20231019,23:00,152석
CGV,CGV 강남,2관[LCK관] 6층 (Laser),화사한그녀,121분,20231019,19:10,118석
