TITLE,DIRECTOR,ACTOR,GENRE,SPECTATORS,RUNTIME,OPENDATE,IMGLINK,MOVIECONTENT
그대들은 어떻게 살 것인가,미야자키하야오,"산토키소마,스다마사키,시바사키코우,아이묭,기무라요시노,기무라타쿠야",애니메이션,전체관람가,124분,2023.10.25,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87433/87433_1000.jpg,"화재로 어머니를 잃은 11살 소년 ‘마히토’는 아버지와 함께 어머니의 고향으로 간다. 어머니에 대한 그리움과 새로운 보금자리에 적응하느라 힘들어하던 ‘마히토’ 앞에 정체를 알 수 없는 왜가리 한 마리가 나타나고, 저택에서 일하는 일곱 할멈으로부터 왜가리가 살고 있는 탑에 대한 신비로운 이야기를 듣게 된다. 그러던 어느 날, ‘마히토’는 사라져버린 새엄마 ‘나츠코’를 찾기 위해 탑으로 들어가고, 왜가리가 안내하는 대로 이세계(異世界)의 문을 통과하는데…!"
용감한 시민,박진표,"신혜선,이준영",,15세이상관람가,112분,2023.10.25,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87410/87410_1000.jpg,"불의는 못 본 척, 성질은 없는 척, 주먹은 약한 척 먹고 살기 위해 조용히 살아 온 기간제 교사 '소시민’.  법도 경찰도 무서울 것 하나 없는 안하무인 절대권력 '한수강'의 선을 넘는 행동을 목격하게 된다.  그의 계속되는 악행을 도저히 참을 수 없었던 그녀, 정체를 숨긴 채 통쾌한 한 방을 날리기로 마음 먹는데…  ""선은 네가 먼저 넘었다 말이 안 통하면 혼나야지!"""
오픈 더 도어,장항준,"이순원,서영주,김수진,강애심","미스터리,스릴러",15세이상관람가,71분,2023.10.25,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87438/87438_1000.jpg,"이른 새벽, 미국 뉴저지의 한 세탁소에서 총성이 울려 퍼진다. 살인 사건은 세간을 떠들썩하게 하지만 범인이 잡히지 않은 채 서서히 잊혀진다. 7년 후, 행복했던 가족의 과거를 추억하던 두 남자는 술을 마시던 중 숨겨진 비밀을 마주하게 되는데…  절대 열어서는 안 되는 판도라의 상자, 당신은 여시겠습니까?"
30일,남대중,"장성욱,김성훈",,12세이상관람가,119분,2023.10.03,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87407/87407_1000.jpg,"“완벽한 저에게 신은 저 여자를 던지셨죠” 지성과 외모 그리고 찌질함까지 타고난, '정열'(강하늘).  “모기 같은 존재죠. 존재의 이유를 모르겠는?” 능력과 커리어 그리고 똘기까지 타고난, '나라'(정소민).  영화처럼 만나 영화같은 사랑을 했지만 서로의 찌질함과 똘기를 견디다 못해 마침내 완벽한 남남이 되기로 한다.  그러나! 완벽한 이별을 딱 D-30 앞둔 이들에게 찾아온 것은... 동반기억상실?  올 추석, 기억도 로맨스도 날리고 웃음만 남긴 이들의 제대로 터지는 코미디가 온다!"
소년들 ,정지영,김주상,,15세이상관람가,124분,2023.11.01,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87429/87429_1000.jpg,
더 킬러,데이빗핀처,"마이클패스벤더,틸다스윈튼,알리스하워드",스릴러,15세이상관람가,118분,2023.10.25,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87452/87452_1000.jpg,"운명을 가를 상황에서 아슬아슬하게 표적을 놓친 암살자. 세계를 넘나드는 추격전에서 고용주들, 그리고 자기 자신과 사투를 벌인다. 하지만 그는 이 모든 일에 자신의 사적 감정은 개입되지 않았다고 믿고 있는데."
플라워 킬링 문,마틴스코세이지,"레오나르도디카프리오,로버트드니로,릴리글래드스톤","범죄,드라마",청소년관람불가,205분,2023.10.19,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87444/87444_1000.jpg,"‘플라워 킬링 문’은 진정한 사랑과 말할 수 없는 배신이 교차하는 서부 범죄극으로 ‘어니스트 버크하트’(레오나르도 디카프리오)와 ‘몰리 카일리’(릴리 글래드스톤)의 이루어질 수 없는 로맨스를 중심으로 오세이지족에게 벌어진 끔찍한 비극 실화를 그려낸다. 데이비드 그랜 작가의 베스트셀러 소설을 원작으로 아카데미를 수상한 거장 마틴 스코세이지 감독이 연출과 각본을 맡았으며, 에릭 로스가 각본에 함께 참여했다."
바람 따라 만나리 : 김호중의 계절,오윤동,김호중,다큐멘터리,전체관람가,107분,2023.10.18,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87422/87422_1000.jpg,"3개월간 전국 6개 도시에서 10만 아리스와 함께했던 김호중의 첫 전국 투어 콘서트, 아리스트라!  제대 후 일년간 쉬지 않고 달려온 김호중이 지친 몸과 마음을 달래기 위해 떠난 여행  대규모 오케스트라와 김호중의 천상의 목소리, 그리고 아리스의 환호가 공연장을 가득 채웠던 감동적인 콘서트 장면과 고군산도의 눈부신 풍경을 따라 여행하는 김호중의 행복한 순간이 스크린X 파노라마 뷰로 펼쳐진다."
톡 투 미 ,"대니필리푸,마이클필리푸","소피와일드,알렉산드라젠슨,조버드,오티스단지,조테라크스,마커스존슨,미란다오토",호러,15세이상관람가,95분,2023.11.01,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87441/87441_1000.jpg,"실시간트렌드 #90초빙의챌린지 #넘사벽스릴 #주작아님  STEP 1. 촛불을 켜고 저승의 문을 연다. STEP 2. 몸을 묶고 ‘죽은 자의 손’을 잡는다. STEP 3. “내게 말해”라고 속삭인다. STEP 4. 나타난 귀신에게 “널 들여보낸다”라고 말하면 빙의 완료.  ※ 경고 ※ 단, 90초 안에 깨울 것. 반드시 촛불을 꺼 문을 닫을 것.  SNS에서 핫한 빙의 챌린지에 중독된 '미아'와 친구들. 위험한 게임을 이어가던 중 친구 '라일리'가 '미아'의 죽은 엄마에게 빙의되자 '미아'는 이성을 잃고 마의 90초를 넘기고 마는데!  죽음보다 끔찍하게, 당신을 무자비하게 뒤흔들 공포가 시작된다! #ㅌㅌㅁ #ㄷㄷㄷ"
두 사람을 위한 식탁,김보람,"박채영,박상옥",다큐멘터리,12세이상관람가,91분,2023.10.25,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87458/87458_1000.jpg,"“너랑 나랑은 영원한 평행선일까?”  극단적인 식사 거부로 거식증 진단을 받은 채영. 막연한 죄책감을 느낀 엄마 상옥은 병의 기원을 찾기 위해 자신의 과거를 탐색하지만 그 이유를 알 수 없다. “각본을 수백 가지 써봤는데, 지금 네가 말한 각본은 참 뜻밖이네.” 오랜 세월이 흐르고, 그동안 참아왔던 채영과 상옥의 대화가 시작된다. "
