prdt_cd,prdt_category,prdt_nm,prdt_cont,prdt_img,prdt_quant,prdt_saldate,prdt_expdate,prdt_price
b2,2,메가박스 미니 시네마 (단품),미니 시네마 (단품),https://img.megabox.co.kr/SharedImg/store/2023/07/13/hApRC44t2qBnFmLMlpthyuJTLlsC2qzz_280.jpg,1835,,~ 2023.10.31 사용 가능,"23,000원"
b3,2,메가박스 미니 시네마(러브콤보 세트),미니 시네마+팝콘L 1+콜라R 2,https://img.megabox.co.kr/SharedImg/store/2023/07/13/muo0f1sDqziR7MdCuNZiO7cQb5qDrdmP_280.jpg,1835,,~ 2023.10.31 사용 가능,"28,000원"
b4,2,러브콤보,팝콘(L) 1 + 탄산음료(R) 2,https://img.megabox.co.kr/SharedImg/store/2022/03/07/qB1IVqlOLCV7hOOEAJp4J9iG3J5oVWjv_280.png,,,구매일로부터 92일 이내 사용 가능,"10,000원"
b5,2,더블콤보,팝콘(R) 2 + 탄산음료(R) 2,https://img.megabox.co.kr/SharedImg/store/2022/03/07/ERDC5wGVMC0YZPIRUsuuaJuAGRyqeDjC_280.png,,,구매일로부터 92일 이내 사용 가능,"13,000원"
c1,3,메가박스 금액권(2만원권),메가박스 금액권(2만원권),https://img.megabox.co.kr/SharedImg/store/2022/09/02/OLQpuZPJ5wuIR9BqZK4sDRKN0t2O3sWV_280.png,,,구매일로부터 366일 이내 사용 가능,"20,000원"
c2,3,메가박스 금액권(3만원권),메가박스 금액권(3만원권),https://img.megabox.co.kr/SharedImg/store/2022/09/02/UhUaGPc8CkaIn0wdjvdz6yhunnOzYdaP_280.png,,,구매일로부터 366일 이내 사용 가능,"30,000원"
c3,3,메가박스 금액권(5만원권),메가박스 금액권(5만원권),https://img.megabox.co.kr/SharedImg/store/2022/09/02/SvDPUHovAC2t5VdkHNby25qYMYGNp3tN_280.png,,,구매일로부터 366일 이내 사용 가능,"50,000원"
d1,4,[100P럭키딜] 오리지널 티켓북 시즌3 (10명),오리지널 티켓북 시즌3 (10명),https://img.megabox.co.kr/SharedImg/store/2023/10/17/UgmTWsx2jYCYqG5MtIbhuMR0UkBvE1ZH_280.png,,2023.10.18 ~ 2023.10.31,~ 2023.10.31 사용 가능,100P
d2,4,[100P럭키딜] 돌비시네마 에디션 티켓북 (10명),돌비시네마 에디션 티켓북 (10명),https://img.megabox.co.kr/SharedImg/store/2023/10/17/8fY5bnkeZ59LYkkTnFF4DyqRQdPCy2EQ_280.png,,2023.10.18 ~ 2023.10.31,~ 2023.10.31 사용 가능,100P
d3,4,[특가] 평일 MX 관람쿠폰 [포인트몰10월],10/18 오전 10시 오픈,https://img.megabox.co.kr/SharedImg/store/2023/10/17/ZmwkxxWc6ZDP8viexnymnuXq2ivpfPj5_280.png,500,2023.10.18 ~ 2023.10.31,~ 2023.11.30 사용 가능,"8,900P"
d4,4,[특가] 영화 1+1 관람쿠폰 [포인트몰10월],10/20 오전 10시 오픈,https://img.megabox.co.kr/SharedImg/store/2023/10/17/I0pCXSSNvjAAz4OM4XGl9mc5RqWvt6iw_280.png,1000,2023.10.20 ~ 2023.10.31,~ 2023.11.30 사용 가능,"5,000P"
d5,4,평일 일반/컴포트/더 부티크 관람쿠폰 [포인트몰10월],"일반/컴포트/더 부티크 전용 (월~금, 공휴일 제외)",https://img.megabox.co.kr/SharedImg/store/2023/10/17/3mAj0LuHYKEMnYwJaU5k8E0sntL4SBV0_280.png,,2023.10.18 ~ 2023.10.31,~ 2023.11.30 사용 가능,"9,900P"
d6,4,평일 MX 관람쿠폰 [포인트몰10월],"MX 전용 예매권 (월~금, 공휴일 제외)",https://img.megabox.co.kr/SharedImg/store/2023/10/17/QVlr54i865zFeTrxUrz4o3GE7iFaPLNq_280.png,,2023.10.18 ~ 2023.10.31,~ 2023.11.30 사용 가능,"10,900P"
d7,4,영화 5천원 할인쿠폰 [포인트몰10월],일반/컴포트/더 부티크/MX 사용 가능,https://img.megabox.co.kr/SharedImg/store/2023/10/17/ym6oFQib1dnXoXs2wreE6Fda5cUS7kjR_280.png,,2023.10.18 ~ 2023.12.31,구매일로부터 2개월 간 유효,"2,500P"
d8,4,영화 4천원 할인쿠폰,일반/컴포트/더 부티크/MX 사용 가능,https://img.megabox.co.kr/SharedImg/store/2023/07/10/ChSLkyxp4Pgd4zANCuTcgq79vmuealcK_280.png,,2023.10.18 ~ 2023.12.31,구매일로부터 2개월 간 유효,"2,000P"
d9,4,영화 3천원 할인쿠폰,일반/컴포트/더 부티크/MX 사용 가능,https://img.megabox.co.kr/SharedImg/store/2023/07/10/6OqNJudXCW27eqi9R8vY5X3NfPzacKiI_280.png,,2023.10.18 ~ 2023.12.31,구매일로부터 2개월 간 유효,"1,500P"
d10,4,영화 2천원 할인쿠폰,일반/컴포트/더 부티크/MX 사용 가능,https://img.megabox.co.kr/SharedImg/store/2023/07/10/C2fUCqaNd6cdnAttzVXSwzOVdQDFT849_280.png,,2023.10.18 ~ 2023.12.31,구매일로부터 2개월 간 유효,"1,000P"
d11,4,영화 1천원 할인쿠폰,일반/컴포트/더 부티크/MX 사용 가능,https://img.megabox.co.kr/SharedImg/store/2023/07/10/Xm7KbpyCkcUlRjmP6GR7QYXm0IVcmuVD_280.png,,2023.10.18 ~ 2023.12.31,구매일로부터 2개월 간 유효,500P
d12,4,[특가] 나쵸 교환쿠폰 [포인트몰10월],10/20 오전 10시 오픈,https://img.megabox.co.kr/SharedImg/store/2023/10/17/K1zJl0ZuvmDNmtKtqkPBC03s92wJMCdm_280.png,1000,2023.10.20 ~ 2023.10.31,~ 2023.11.30 사용 가능,"2,000P"
d13,4,[특가] 탄산L 교환쿠폰 [포인트몰10월],10/18 오전 10시 오픈,https://img.megabox.co.kr/SharedImg/store/2023/10/17/WPN7Ir5k22kALjkWz9n75tLH1O9QO2Xr_280.png,1000,2023.10.18 ~ 2023.10.31,~ 2023.11.30 사용 가능,"1,500P"
d14,4,[특가] 만춘쿠키박스 [포인트몰10월],만춘쿠키 6ea,https://img.megabox.co.kr/SharedImg/store/2023/10/17/pAsnPijSM4POgHKlY1QK0gYB6VnMCvvB_280.png,100,2023.10.18 ~ 2023.10.31,~ 2023.10.31 사용 가능,"8,000P"
